"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"21-Mar-2006","     3264.65","     3292.15","     3247.25","     3262.30","       94383185","         4408.31"
"22-Mar-2006","     3263.35","     3267.95","     3221.95","     3240.15","       92992199","         4747.15"
"23-Mar-2006","     3240.85","     3265.60","     3225.20","     3247.15","      132315985","         4977.08"
"24-Mar-2006","     3247.15","     3286.20","     3242.60","     3279.80","      133458459","         3755.77"
"27-Mar-2006","     3283.40","     3327.05","     3280.80","     3321.65","      155883121","         6939.44"
"28-Mar-2006","     3321.45","     3344.50","     3311.85","     3325.00","      145259830","         7402.88"
"29-Mar-2006","     3324.85","     3359.80","     3324.80","     3354.20","      107383096","         4235.41"
"30-Mar-2006","     3354.25","     3433.85","     3354.25","     3418.95","      167133850","         7120.91"
"31-Mar-2006","     3420.55","     3425.45","     3381.90","     3402.55","      191025581","        12055.59"
"03-Apr-2006","     3403.15","     3478.25","     3402.45","     3473.30","       73250033","         3804.68"
"04-Apr-2006","     3473.10","     3508.25","     3463.85","     3483.15","       92359007","         4230.10"
"05-Apr-2006","     3483.15","     3513.95","     3483.15","     3510.90","       79374868","         4099.01"
"07-Apr-2006","     3525.60","     3555.50","     3445.90","     3454.80","      137089599","         7354.61"
"10-Apr-2006","     3455.00","     3489.05","     3430.40","     3478.45","      104980176","         4807.96"
"12-Apr-2006","     3479.10","     3484.65","     3366.75","     3380.00","      124245306","         6146.48"
"13-Apr-2006","     3380.40","     3391.05","     3290.35","     3345.50","      129244802","         6733.14"
"17-Apr-2006","     3342.15","     3433.65","     3342.15","     3425.15","       94138429","         4856.61"
"18-Apr-2006","     3429.00","     3521.95","     3429.00","     3518.10","      103920172","         5605.22"
"19-Apr-2006","     3523.65","     3570.50","     3502.75","     3535.85","      119462639","         5833.57"
"20-Apr-2006","     3539.80","     3578.35","     3527.25","     3573.50","      113701322","         5774.69"
"21-Apr-2006","     3576.75","     3592.75","     3517.10","     3573.05","      134014772","         6849.64"
"24-Apr-2006","     3572.80","     3585.35","     3536.30","     3548.90","       90785788","         4698.35"
"25-Apr-2006","     3548.80","     3552.65","     3433.55","     3462.65","       83494373","         4284.69"
"26-Apr-2006","     3462.65","     3562.30","     3454.10","     3555.75","       90642187","         4568.22"
"27-Apr-2006","     3554.70","     3598.95","     3492.75","     3508.10","      148887167","        10435.62"
"28-Apr-2006","     3507.45","     3517.65","     3342.85","     3508.35","      108821039","         4943.01"
"29-Apr-2006","     3508.35","     3565.75","     3508.35","     3557.60","       35740010","         1515.59"
"02-May-2006","     3557.55","     3622.05","     3556.90","     3605.45","      108347510","         5259.84"
"03-May-2006","     3604.40","     3640.80","     3581.40","     3634.25","       95591194","         4537.19"
"04-May-2006","     3630.65","     3674.50","     3621.55","     3648.40","      100108143","         5141.00"
"05-May-2006","     3649.45","     3676.55","     3639.55","     3663.95","      106747561","         4261.22"
"08-May-2006","     3668.65","     3708.55","     3668.65","     3693.15","       70284895","         3777.17"
"09-May-2006","     3694.65","     3725.40","     3655.65","     3720.55","       83890001","         4706.15"
"10-May-2006","     3720.75","     3758.05","     3717.25","     3754.25","       93510261","         4998.59"
"11-May-2006","     3755.80","     3774.15","     3687.90","     3701.05","       77726368","         4255.37"
"12-May-2006","     3704.15","     3704.15","     3633.85","     3650.05","       94028454","         4448.04"
"15-May-2006","     3651.00","     3653.00","     3482.85","     3502.95","      125542855","         5652.80"
"16-May-2006","     3502.95","     3543.50","     3382.40","     3523.30","      139746059","         6200.73"
"17-May-2006","     3525.05","     3641.85","     3525.05","     3635.10","      100892613","         4550.85"
"18-May-2006","     3636.45","     3636.45","     3365.90","     3388.90","      137036044","         6090.70"
"19-May-2006","     3391.85","     3493.05","     3205.25","     3246.90","      143372267","         6499.15"
"22-May-2006","     3254.30","     3313.90","     2896.40","     3081.35","      148001127","         6043.37"
"23-May-2006","     3068.60","     3221.05","     2997.35","     3199.35","      114894339","         4682.56"
"24-May-2006","     3203.50","     3249.75","     3091.60","     3115.55","      134699170","         5908.84"
"25-May-2006","     3114.70","     3198.35","     3012.95","     3177.70","      154894775","         6720.25"
"26-May-2006","     3177.70","     3277.95","     3177.70","     3209.60","      105522896","         4245.44"
"29-May-2006","     3207.25","     3255.25","     3193.15","     3214.90","       73032523","         2981.85"
"30-May-2006","     3215.50","     3252.10","     3167.05","     3185.30","       69451029","         3202.35"
"31-May-2006","     3181.95","     3181.95","     2972.90","     3071.05","      119568428","         4934.32"
"01-Jun-2006","     3072.55","     3130.00","     2936.60","     2962.25","      112881053","         5065.82"
"02-Jun-2006","     2961.50","     3099.35","     2940.20","     3091.35","      106179408","         4324.06"
"05-Jun-2006","     3092.60","     3125.40","     3006.40","     3016.65","       88204812","         4034.23"
"06-Jun-2006","     3015.05","     3015.05","     2910.30","     2937.30","       98819077","         4198.29"
"07-Jun-2006","     2935.25","     2956.90","     2819.45","     2860.45","      122677884","         4954.39"
"08-Jun-2006","     2856.90","     2859.40","     2683.20","     2724.35","      133611695","         5155.37"
"09-Jun-2006","     2721.20","     2875.75","     2707.85","     2866.30","      101500861","         4255.42"
"12-Jun-2006","     2867.65","     2877.80","     2761.85","     2776.85","       78190250","         3359.69"
"13-Jun-2006","     2773.60","     2773.60","     2638.10","     2663.30","       85457365","         3459.33"
"14-Jun-2006","     2665.05","     2767.75","     2595.65","     2632.80","       98860315","         4513.90"
"15-Jun-2006","     2634.10","     2814.15","     2634.10","     2798.80","       88836911","         3820.20"
"16-Jun-2006","     2799.85","     2960.15","     2799.85","     2890.35","      117621143","         5258.32"
"19-Jun-2006","     2892.00","     2932.90","     2846.50","     2916.90","       75179603","         3186.42"
"20-Jun-2006","     2919.00","     2919.00","     2837.45","     2861.30","       85067878","         3342.93"
"21-Jun-2006","     2861.40","     2930.80","     2836.40","     2923.45","       81725635","         3417.00"
"22-Jun-2006","     2923.75","     3017.65","     2923.75","     2994.75","       81030379","         3567.00"
"23-Jun-2006","     2993.55","     3063.20","     2920.20","     3042.70","       86904356","         3615.07"
"25-Jun-2006","     3043.15","     3083.00","     3035.95","     3050.30","       12073961","          433.29"
"26-Jun-2006","     3051.80","     3059.85","     2928.00","     2943.20","       87442622","         3613.02"
"27-Jun-2006","     2943.60","     3004.15","     2899.25","     2982.45","      116745741","         5252.39"
"28-Jun-2006","     2982.20","     3003.65","     2909.60","     2981.10","       84897439","         3840.16"
"29-Jun-2006","     2982.90","     3049.25","     2982.90","     2997.90","      110790760","         5017.76"
"30-Jun-2006","     2993.50","     3134.15","     2993.50","     3128.20","       98679172","         4453.99"
"03-Jul-2006","     3128.75","     3160.35","     3114.85","     3150.95","       66603275","         3157.85"
"04-Jul-2006","     3151.05","     3177.40","     3130.30","     3138.65","       66682150","         3147.66"
"05-Jul-2006","     3136.95","     3201.20","     3121.80","     3197.10","       90419711","         4195.99"
"06-Jul-2006","     3197.50","     3197.50","     3138.40","     3156.40","       74893378","         3524.77"
"07-Jul-2006","     3157.95","     3193.10","     3056.30","     3075.85","       90060282","         4068.60"
"10-Jul-2006","     3077.10","     3147.70","     3064.10","     3142.00","       65284375","         2980.45"
"11-Jul-2006","     3145.30","     3146.00","     3100.40","     3116.15","       66336970","         3096.43"
"12-Jul-2006","     3124.95","     3201.35","     3078.25","     3195.90","       93623050","         5499.45"
"13-Jul-2006","     3196.30","     3208.85","     3148.95","     3169.30","       81620172","         3475.59"
"14-Jul-2006","     3166.25","     3166.25","     3089.55","     3123.35","       61512609","         3055.66"
"17-Jul-2006","     3123.65","     3125.10","     2999.35","     3007.55","       60049023","         2953.60"
"18-Jul-2006","     3007.15","     3038.25","     2967.95","     2993.65","       70494264","         3522.91"
"19-Jul-2006","     2995.85","     3045.35","     2919.95","     2932.75","       79085652","         3948.34"
"20-Jul-2006","     2943.65","     3041.25","     2943.65","     3023.05","       77712999","         3686.36"
"21-Jul-2006","     3025.10","     3029.10","     2930.15","     2945.00","       74876151","         3454.86"
"24-Jul-2006","     2944.90","     2996.65","     2878.25","     2985.85","       78139891","         3721.14"
"25-Jul-2006","     2989.50","     3046.95","     2987.15","     3040.50","       70646865","         3378.75"
"26-Jul-2006","     3040.45","     3121.40","     3022.70","     3110.15","       77137663","         3749.48"
"27-Jul-2006","     3109.85","     3167.10","     3109.85","     3156.15","      106694441","         5295.10"
"28-Jul-2006","     3158.00","     3168.50","     3109.45","     3130.80","       81278521","         3571.94"
"31-Jul-2006","     3131.35","     3179.70","     3110.60","     3143.20","       61675413","         3130.17"
"01-Aug-2006","     3128.20","     3154.70","     3113.60","     3147.80","       57028169","         2790.09"
"02-Aug-2006","     3129.45","     3187.85","     3127.90","     3182.10","       55484351","         2628.88"
"03-Aug-2006","     3182.55","     3234.25","     3175.15","     3190.00","       69084722","         3556.26"
"04-Aug-2006","     3189.70","     3228.15","     3161.80","     3176.75","       69528047","         3282.36"
"07-Aug-2006","     3176.70","     3178.50","     3142.55","     3151.10","       50260661","         2482.52"
"08-Aug-2006","     3151.55","     3216.75","     3151.55","     3212.40","       52271647","         2334.30"
"09-Aug-2006","     3211.55","     3267.20","     3187.85","     3254.60","       71781978","         3410.66"
"10-Aug-2006","     3254.60","     3274.75","     3229.45","     3260.10","       59287718","         2795.74"
"11-Aug-2006","     3260.05","     3286.50","     3236.95","     3274.35","       63497173","         3339.55"
